id,left_position,survey_finished,ccmu,catcap,anymc,medi,rural,nonpro,q1,q2,q3,q4,q5_1,q5_2,q5_3,q5_4,q5_5,q6_1,q6_2,q6_3,q6_4,q6_5,q6_6,q7,q8_1,q8_2,q8_3,q8_4,q8_5,q9_1,q9_2,q9_3,q9_4,q9_5,q10,q11,q12,q13,q14,q15_1,q15_2,q15_3,q15_4,q15_5,q15_6,q15_7,q16,q17,q18_1,q18_2,q18_3,q18_4,q18_5,q18_6,q18_7,q18_8,q18_9,q19_1,q19_2,q19_3,q19_4,q19_5,q19_6,q19_7,q19_8,q19_9,q19_10,q19_11,q19_12,q19_13,q19_14,q20_1,q20_2,q20_3,q20_4,q20_5,q20_6,q20_7,q20_8,q20_9,q20_10,q20_11,q20_12,q20_13,q20_14,q20_15,q21,q22_1,q22_2,q22_3,q22_4,q22_5,q22_6,q22_7,q22_8,q22_9,q22_10,q22_11,q22_12,q22_13,q22_14,q22_15,q22_16,q22_17,q22_18,q22_19,q22_20,q22_21,q22_22,q22_23,q23,q24,q25,q26_1,q26_2,q26_3,q26_4,q26_5,q26_6,q26_7,q26_8,q26_9,q26_10
r_rq1xvlocy1tsqjt,0,1,50r452,0,0,1,0,0,2,27,NA,2,1,1,1,1,1,1,1,1,1,1,NA,4,4,3,4,4,4,4,5,5,5,5,1,1,1,NA,2,1,0,1,0,0,0,NA,8,2,1,1,1,1,1,0,0,0,NA,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,1,2,2,2,2,2,2,1,1,4,4,1
r_1ekrgktyfll6oys,1,1,70a315,1,0,0,0,0,2,62,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,3,4,4,3,4,5,5,5,2,11,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,1,1,0,1,1,1,3,3,3,5,2,5,5,2,3,4,2,5,4,2,2,2,2,4,1,2,3,1,1,1,3,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,5,5,5,4,5,3,4,3,2,5
r_3lbv5ehz3fyzy7s,0,1,50r474,1,1,0,0,0,2,23,NA,4,1,1,1,1,1,1,1,3,2,1,1,1,3,3,4,4,3,4,4,4,4,4,2,1,1,4,NA,0,1,0,0,1,0,0,5,4,1,1,1,1,1,NA,1,1,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,2,3,4,2,2,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,3,2,5,3,3,4,3,4,3,3,4,4,2
r_1h1ydt1jxy30ue4,0,1,50r378,2,0,1,0,0,1,36,NA,5,1,1,1,1,1,3,1,3,2,1,NA,4,5,5,5,5,5,5,5,5,5,5,2,3,2,4,NA,NA,1,1,1,1,NA,NA,10,5,1,1,1,1,1,NA,NA,1,1,3,5,5,5,4,5,5,4,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,5,5,4,4,3,3,2,5,2,5
r_3sbmjvtcsfb22e5,0,1,50r417,1,0,1,0,0,2,31,NA,4,0,0,0,0,0,NA,NA,NA,NA,NA,3,4,5,3,3,4,4,3,4,3,4,5,2,5.5,2,NA,1,0,0,0,0,0,0,1,16,4,1,1,1,1,1,0,1,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,1,3,4,4,4,5,4,5,3,4,4,4
r_30jhlul00mi7wwe,1,1,70a330,2,0,0,0,0,1,53,NA,2,NA,NA,NA,NA,NA,1,1,1,1,1,NA,3,3,3,3,3,3,2,2,4,4,3,2,2,2,4,NA,0,1,1,0,0,0,NA,11,3,1,1,1,1,1,0,0,0,1,2,4,3,3,3,2,3,2,4,3,2,4,3,2,3,3,3,4,2,2,2,3,3,2,4,4,4,4,4,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,3,1,2,4,4,4,5,5,5,3,2,4,3
r_30jhlul00mi7wwe,1,1,70a330,2,0,0,0,0,1,53,NA,2,NA,NA,NA,NA,NA,1,1,1,1,1,NA,3,3,3,3,3,3,2,2,4,4,3,2,2,2,4,NA,0,1,1,0,0,0,NA,11,3,1,1,1,1,1,0,0,0,1,2,4,3,3,3,2,3,2,4,3,2,4,3,2,3,3,3,4,2,2,2,3,3,2,4,4,4,4,4,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,3,1,2,4,4,4,5,5,5,3,2,4,3
r_1lzlfevapfk36su,0,1,70m213,2,0,1,0,0,1,51,NA,4,0,0,0,0,1,2,1,1,2,1,3,2,4,4,4,4,4,4,4,4,4,4,2,4,2,3,5,1,1,0,0,1,NA,1,22,4,1,0,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,4,4,4,5,4,4,4,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,4,4,4,2,4,2,2,2,2,4
r_25ycjwchjzqbaju,1,1,70m085,3,0,1,1,0,2,32,NA,4,1,0,1,0,0,1,1,1,1,NA,3,3,3,3,3,3,2,2,2,4,4,5,2,2,2,3,1,0,0,0,0,0,0,0,15,5,1,1,1,1,1,0,1,0,0,5,4,5,5,5,4,4,5,5,4,5,4,4,5,4,5,5,5,5,4,4,5,3,5,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,5,5,4,4,4,4,4,4,4
r_2zi5fvjkay2weo0,1,1,5ma233,1,0,1,1,0,2,43,NA,2,1,1,0,1,1,3,1,1,1,NA,1,4,5,5,NA,5,5,5,5,5,5,5,1,3,1,4,NA,1,1,1,1,1,1,NA,NA,2,1,1,1,1,1,NA,1,1,1,5,2,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,NA,5,5,5,5,5,5,5,5,5,1,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,1,NA,NA,1,NA,4,4,4,3,3,3,3,3,3,3,3,3,3
r_2yobqs0lijj3brx,0,1,50r274,0,0,0,0,0,2,38,NA,1,0,0,0,0,1,1,1,1,1,1,1,3,5,5,5,5,5,5,5,5,5,5,2,3,1,4,NA,0,0,0,1,0,1,NA,NA,2,1,1,1,1,1,1,1,1,NA,5,1,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,4,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,4,4,4,1,3,3,1,1,1,1
r_o7lvcsag1hhr4xx,0,1,50m209,1,0,1,1,1,2,66,NA,3,0,0,0,0,0,1,1,1,1,1,NA,4,4,4,4,4,4,4,4,4,3,4,2,8,2,3,2,0,0,0,0,0,0,NA,21,3,0,0,1,1,1,0,0,0,0,2,4,3,3,3,3,4,3,4,3,2,4,NA,3,3,4,4,3,2,3,2,3,2,2,4,2,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,2,2,2,4,2,3,3,2,3,3
r_bpizlc0aafrpak1,0,1,50r336,1,1,1,0,0,2,29,NA,2,1,1,1,1,1,3,1,3,1,1,1,3,4,4,4,4,4,4,3,4,4,4,2,2,1,4,NA,0,1,0,1,0,0,0,13,3,1,1,1,1,1,0,1,1,0,5,2,4,5,5,5,5,3,2,3,4,5,4,3,4,3,4,2,4,5,5,3,2,4,3,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,5,3,4,3,4,4,5,4,5
r_4zstn57gbfhci8p,0,1,5ma249,0,1,1,1,0,2,38,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,4,4,4,3,2,4,4,4,2,1.5,2,NA,2,1,0,0,1,0,0,NA,20,3,1,1,1,1,1,0,1,1,0,4,2,5,5,5,5,4,4,2,4,4,5,5,4,4,3,4,4,4,4,4,3,3,3,2,4,3,2,2,1,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,2,1,4,4,4,4,4,4,4,4,4,2,4
r_2evfmned3jtpa38,1,1,70m231,2,0,1,1,0,1,33,NA,4,0,0,0,0,0,1,1,1,1,1,3,4,5,4,4,4,5,3,4,4,4,5,2,4,1,4,NA,0,1,NA,0,0,0,1,12,4,1,1,1,1,1,0,1,1,NA,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,3,3,3,4,3,3,3,3,3,3
r_1f8zemrpjdn08cv,1,1,50r275,1,1,1,1,0,1,30,NA,2,0,0,0,0,0,1,1,1,1,1,NA,3,4,3,4,3,4,4,1,3,4,3,2,2,2,NA,1,0,0,0,0,0,0,NA,10,2,1,1,1,1,1,0,1,1,0,4,2,3,3,4,3,4,3,2,4,4,4,3,3,4,2,2,3,4,4,4,2,3,4,3,4,4,4,4,1,NA,1,1,1,1,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,5,5,4,5,5,4,4,4,3,3
r_1f8zemrpjdn08cv,1,1,50r275,1,1,1,1,0,1,30,NA,2,0,0,0,0,0,1,1,1,1,1,NA,3,4,3,4,3,4,4,1,3,4,3,2,2,2,NA,1,0,0,0,0,0,0,NA,10,2,1,1,1,1,1,0,1,1,0,4,2,3,3,4,3,4,3,2,4,4,4,3,3,4,2,2,3,4,4,4,2,3,4,3,4,4,4,4,1,NA,1,1,1,1,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,5,5,4,5,5,4,4,4,3,3
r_12r6h6s4u4d3air,0,1,70m096,3,0,1,0,0,2,41,NA,5,1,1,1,1,1,3,1,1,1,2,NA,4,5,3,3,4,4,4,4,4,4,5,2,4,2,3,5,0,1,1,0,0,0,0,19,4,1,1,1,1,1,0,1,1,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,4,2,4,4,2,4,5,3,3
r_3s1ct7bnok5lpu0,0,1,70a069,2,0,1,0,0,2,41,NA,1,0,0,0,0,0,1,1,1,1,1,1,3,5,5,5,5,5,5,5,5,5,5,2,8,1,4,NA,0,0,0,1,0,0,1,NA,4,NA,1,1,1,1,0,1,1,1,5,4,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,4,4,4,4,4,4,4,2,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,3,3,3,3,3,2,2,4,2,2
r_7wnovjv6i9ubnvf,0,1,70m038,2,0,1,1,0,4,NA,NA,4,1,1,1,1,0,1,1,1,2,1,NA,4,4,3,3,3,3,4,5,4,4,4,2,2,2,NA,5,0,0,0,0,0,0,NA,11,4,1,1,1,1,1,NA,1,1,1,4,3,4,4,4,5,5,4,4,4,4,5,5,4,4,3,3,4,4,3,3,4,3,4,2,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,3,3,3,3,3,3,3,3,3,3
r_sjj0dfknykxqsrl,1,1,5ma137,1,1,1,1,0,2,51,NA,4,1,1,1,1,1,1,1,1,1,1,NA,2,5,3,2,4,3,3,3,3,3,3,2,1,2,4,NA,0,1,0,0,0,0,1,8,2,1,NA,1,0,1,1,1,1,0,3,2,3,4,4,3,5,3,1,2,3,5,3,4,3,3,2,3,3,5,5,3,3,3,5,5,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,5,5,5,5,4,5,5,5,5,5
r_1dfu3pru0bg4jiq,0,1,70m039,3,0,1,1,0,2,37,NA,2,0,NA,NA,NA,NA,1,1,1,2,1,1,4,4,2,3,4,4,3,4,4,4,4,2,5,1,NA,1,0,0,0,1,0,0,0,NA,4,1,1,0,1,1,0,1,1,1,4,3,4,4,5,4,3,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,3,3,2,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,3,3,3,4,4,3,2,4,3,3
r_bzugtq7xj9x8lhz,0,1,50r466,1,1,0,0,0,4,24,NA,2,0,0,0,0,0,3,1,1,1,1,3,1,4,4,5,4,3,4,5,5,4,5,2,0.5,1,4,NA,0,0,0,0,0,0,1,6,3,1,1,1,1,1,NA,1,1,0,3,4,5,4,5,4,5,5,4,5,3,4,4,4,5,5,4,4,3,4,5,4,3,3,2,3,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,4,3,3,3,3,3,3,3,4,3,2
r_2ty8kmfvkuswwaw,1,1,70a335,3,0,0,0,0,2,36,NA,3,0,0,0,0,1,1,1,1,2,1,NA,4,5,5,5,5,5,5,4,4,4,3,2,0,2,3,2,0,1,0,0,0,0,NA,22,5,1,1,1,1,1,0,1,1,0,2,4,3,5,2,5,5,2,3,5,2,5,5,3,3,3,3,4,3,4,4,3,3,3,1,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,2,3,3,3,3,3,3,4,2,2
r_2ze50854td0mx5g,0,1,50r480,2,1,0,0,0,1,51,NA,4,1,1,1,0,1,1,1,1,2,2,NA,2,4,3,3,3,4,5,1,4,2,2,2,0,2,3,5,0,1,0,0,0,0,NA,14,4,1,1,1,1,1,0,0,1,0,2,2,2,4,2,4,1,1,4,2,2,5,5,2,2,2,2,2,2,2,2,2,1,2,4,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,2,2,2,3,1,2,1,3,2,4
r_12c2fyp1ly3i4jz,1,1,50r347,3,1,1,0,0,2,48,NA,2,NA,NA,NA,NA,NA,1,1,3,2,NA,NA,2,1,3,4,1,4,3,1,1,3,1,2,NA,2,NA,5,0,1,1,0,0,0,NA,28,4,0,0,1,1,1,NA,NA,NA,1,1,2,2,3,1,5,5,1,3,3,1,5,1,2,3,3,3,2,1,2,5,2,1,2,3,4,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,3,1,5,5,5,5,5,5,2,2,4,2,2
r_eai18g7fxbbrnbb,1,1,70a261,2,0,1,0,0,2,34,NA,4,1,1,1,1,0,3,1,1,1,1,NA,4,3,2,3,2,3,3,2,4,4,4,2,4,2,NA,1,0,0,0,0,0,0,NA,5,3,1,1,1,1,1,NA,1,1,1,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,2,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,3,4,3,3,3,3,4,2
r_2w078p9odkuyiae,0,0,50r471,0,0,1,0,0,2,33,NA,3,0,0,0,0,0,1,1,1,2,1,3,3,3,2,2,2,3,2,1,3,3,4,1,2,2,4,NA,1,1,0,0,0,0,NA,5,3,1,1,1,1,0,0,0,0,0,5,4,2,4,4,4,2,2,3,4,4,4,2,3,4,4,4,4,4,3,5,3,3,4,3,3,4,3,3,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,NA,2,1,1,5,5,5,5,4,5,4,4,4,4
r_3pemmm1gpre1eos,0,1,50m227,0,1,1,1,0,2,46,NA,4,1,1,1,1,1,3,1,1,2,2,1,4,1,1,3,2,1,1,4,5,5,5,2,2,2,3,5,0,1,0,0,0,0,0,31,3,0,0,1,1,1,0,1,0,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4,2,2,2,3,4,4
r_3k6xvivorwfd9ay,1,1,50a263,2,1,1,0,0,1,38,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,4,4,2,2,3,2,3,5,5,3,5,2,1,2,3,5,0,0,0,0,0,0,0,5,4,1,1,1,1,1,NA,1,1,1,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,4,4,4,3,5,2,5,4,2,2,1,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2,4,5,5,2,5,2,4,4,2,2,2
r_esrvaj60vcdio6l,0,1,50r412,0,1,1,2,0,2,55,NA,4,0,0,0,1,1,1,1,1,1,1,1,4,3,3,3,3,3,3,4,3,3,4,2,3.75,1,4,NA,1,0,0,1,0,0,1,11,3,0,0,0,1,0,0,0,0,1,5,4,5,5,5,5,5,4,4,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,2,4,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,4,4,5,3,3,4,4,3,3,2,3,3,3
r_2pjvuxc8cc7tzg6,0,1,50r482,1,1,0,0,0,1,43,NA,5,0,0,0,0,1,3,NA,NA,NA,NA,NA,1,4,3,4,4,4,4,4,4,4,5,2,1,1,NA,3,1,0,0,1,0,0,1,13,3,1,1,1,1,0,1,1,1,0,4,3,3,5,4,3,4,4,3,4,3,3,4,4,4,4,4,4,3,3,3,4,4,3,4,4,3,4,4,1,1,NA,NA,NA,1,NA,1,1,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,4,2,2,4,4,4,3,4,4,4,3,NA,NA
r_ukrcytowriw9bsp,0,1,70a343,3,0,0,0,0,2,50,NA,4,0,0,0,0,0,1,1,1,1,1,2,4,5,5,5,5,5,5,5,5,5,5,2,1,2,NA,5,0,0,0,0,1,0,1,20,5,1,1,1,1,1,0,1,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,4,4,4,2,3,2,2,2,2,2
r_2xah24mmpfhulwy,0,1,70m243,3,0,1,0,0,2,41,NA,3,1,1,0,0,0,1,1,1,1,1,3,1,5,5,5,5,5,4,4,4,4,5,2,2,2,NA,1,1,NA,NA,NA,NA,NA,NA,22,4,1,1,1,1,1,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,3,4,2,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,2,2,4,4,2,3,2,2,2,2
r_2c1xhvrw6hmigfl,1,0,70a260,2,0,1,0,0,2,38,NA,4,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,2,1,1,1,2,3,2,3,2,0,0,0,1,0,0,NA,NA,5,1,1,1,1,1,0,1,1,1,4,5,4,5,4,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,4,4,5,4,5,2,2,3,2,4
